Response_ID,Timestamp,How would you rate your overall satisfaction with the workshop?,Which academic department do you belong to?,What is your current year of study?,Which workshop topic was most valuable to you?,Which skills would you like to explore in future sessions? (Select all that apply),How clear and effective was the instructor's delivery?,Would you recommend this workshop to your peers?,What aspects of the workshop did you like the most?,What improvements or changes would you suggest?
16,2026-08-29 22:22:35.806044,4.0,Information Technology,4th Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Autonomous AI Agents, Mobile App Development",3.0,Yes,Loved the clear explanations of REST API architecture and database models.,Audio had occasional echo in the auditorium back rows.
17,2026-08-28 13:36:35.806044,5.0,Computer Science,2nd Year,Cloud Deployment & DevOps,"Autonomous AI Agents, Advanced System Design, Mobile App Development",4.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Audio had occasional echo in the auditorium back rows.
18,2026-09-01 15:45:35.806044,5.0,Computer Science,2nd Year,Cloud Deployment & DevOps,"Advanced System Design, Mobile App Development, Autonomous AI Agents",5.0,Yes,Loved building a working AI application in real time during the second half.,The pace in the second half was a bit too fast for beginners without prior Python experience.
19,2026-08-31 18:40:35.806044,3.0,Computer Science,1st Year,Python & FastAPI Backends,"Autonomous AI Agents, Vector Databases & RAG, Advanced System Design",3.0,Maybe,Loved building a working AI application in real time during the second half.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
20,2026-08-30 19:35:35.806044,5.0,Information Technology,3rd Year,Python & FastAPI Backends,Docker & Kubernetes,5.0,Maybe,Practical examples rather than just boring slides. Outstanding workshop!,
21,2026-08-31 04:40:35.806044,5.0,Computer Science,2nd Year,React & Modern UI Systems,"Autonomous AI Agents, Advanced System Design, Docker & Kubernetes",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
22,2026-08-29 12:12:35.806044,5.0,Electronics & Communication,4th Year,AI-assisted Coding & LLMs,"Advanced System Design, Autonomous AI Agents, Docker & Kubernetes",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Please provide code repositories and slides earlier before the session starts.
23,2026-09-01 20:44:35.806044,4.0,AI & Data Science,2nd Year,Cloud Deployment & DevOps,"Vector Databases & RAG, Docker & Kubernetes, Autonomous AI Agents",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Some advanced AI prompting techniques needed more foundational explanation.
24,2026-09-01 16:09:35.806044,3.0,Electronics & Communication,1st Year,Python & FastAPI Backends,Docker & Kubernetes,2.0,Maybe,The AI integration section was eye opening and directly applicable to our capstone project.,Audio had occasional echo in the auditorium back rows.
25,2026-08-30 17:07:35.806044,3.0,Computer Science,1st Year,Cloud Deployment & DevOps,"Advanced System Design, Vector Databases & RAG, Mobile App Development",2.0,Yes,,
26,2026-09-01 15:17:35.806044,5.0,Electronics & Communication,4th Year,AI-assisted Coding & LLMs,"Advanced System Design, Mobile App Development",5.0,Yes,Great energy from the instructor and very well structured presentation slides.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
27,2026-09-01 10:35:35.806044,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Mobile App Development, Vector Databases & RAG",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,The pace in the second half was a bit too fast for beginners without prior Python experience.
28,2026-09-01 09:46:35.806044,5.0,Information Technology,1st Year,Cloud Deployment & DevOps,"Vector Databases & RAG, Mobile App Development, Advanced System Design",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Some advanced AI prompting techniques needed more foundational explanation.
29,2026-08-29 12:29:35.806044,5.0,Information Technology,2nd Year,Cloud Deployment & DevOps,"Vector Databases & RAG, Docker & Kubernetes",4.0,Yes,,Need more time allocated for hands-on practice rather than rapid live coding.
30,2026-08-31 16:01:35.806044,5.0,AI & Data Science,2nd Year,Cloud Deployment & DevOps,"Mobile App Development, Autonomous AI Agents, Docker & Kubernetes",5.0,Yes,Loved the clear explanations of REST API architecture and database models.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
31,2026-08-29 14:16:35.806044,4.0,Information Technology,4th Year,Cloud Deployment & DevOps,"Advanced System Design, Docker & Kubernetes",3.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",Some advanced AI prompting techniques needed more foundational explanation.
32,2026-08-30 16:14:35.806044,4.0,Computer Science,2nd Year,Cloud Deployment & DevOps,"Mobile App Development, Autonomous AI Agents",4.0,Yes,Loved building a working AI application in real time during the second half.,Need more time allocated for hands-on practice rather than rapid live coding.
33,2026-08-30 04:02:35.806044,4.0,Information Technology,3rd Year,Python & FastAPI Backends,"Advanced System Design, Docker & Kubernetes",4.0,Yes,,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
34,2026-08-31 08:24:35.806044,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,The best tech workshop we had this semester. Very inspiring!,
35,2026-08-31 11:37:35.806044,4.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,Vector Databases & RAG,3.0,Yes,Loved the clear explanations of REST API architecture and database models.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
36,2026-09-01 17:48:35.806044,4.0,AI & Data Science,2nd Year,React & Modern UI Systems,"Advanced System Design, Mobile App Development",4.0,Maybe,Loved the clear explanations of REST API architecture and database models.,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
37,2026-08-31 18:05:35.806044,4.0,AI & Data Science,2nd Year,React & Modern UI Systems,"Mobile App Development, Vector Databases & RAG, Advanced System Design",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
38,2026-08-29 10:24:35.806044,5.0,Computer Science,2nd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,Loved the clear explanations of REST API architecture and database models.,The pace in the second half was a bit too fast for beginners without prior Python experience.
39,2026-08-28 16:47:35.806044,3.0,AI & Data Science,2nd Year,React & Modern UI Systems,"Mobile App Development, Advanced System Design, Autonomous AI Agents",2.0,No,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Audio had occasional echo in the auditorium back rows.
40,2026-08-30 14:02:35.806044,5.0,AI & Data Science,2nd Year,Python & FastAPI Backends,"Autonomous AI Agents, Mobile App Development",5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,Please include more beginner-friendly debugging tips.
41,2026-09-01 18:05:35.806044,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Mobile App Development",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
42,2026-08-30 02:37:35.806044,4.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,Mobile App Development,5.0,Yes,,Need more time allocated for hands-on practice rather than rapid live coding.
43,2026-08-28 19:09:35.806044,4.0,Information Technology,3rd Year,Python & FastAPI Backends,Advanced System Design,4.0,Yes,Great energy from the instructor and very well structured presentation slides.,Please provide code repositories and slides earlier before the session starts.
44,2026-08-30 17:33:35.806044,5.0,Electronics & Communication,2nd Year,AI-assisted Coding & LLMs,Docker & Kubernetes,4.0,Yes,,
45,2026-08-29 07:08:35.806044,2.0,Information Technology,4th Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Autonomous AI Agents, Docker & Kubernetes",2.0,No,The best tech workshop we had this semester. Very inspiring!,The pace in the second half was a bit too fast for beginners without prior Python experience.
46,2026-08-29 11:57:35.806044,4.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Mobile App Development",3.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Audio had occasional echo in the auditorium back rows.
47,2026-08-28 12:35:35.806044,4.0,AI & Data Science,4th Year,AI-assisted Coding & LLMs,"Advanced System Design, Docker & Kubernetes, Vector Databases & RAG",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
48,2026-08-30 02:05:35.806044,5.0,Computer Science,2nd Year,Python & FastAPI Backends,"Vector Databases & RAG, Mobile App Development",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
49,2026-09-01 12:44:35.806044,4.0,Information Technology,4th Year,Python & FastAPI Backends,"Mobile App Development, Advanced System Design, Docker & Kubernetes",4.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Please include more beginner-friendly debugging tips.
50,2026-08-30 01:44:35.806044,4.0,AI & Data Science,1st Year,AI-assisted Coding & LLMs,"Mobile App Development, Docker & Kubernetes",4.0,Yes,Loved the clear explanations of REST API architecture and database models.,
51,2026-08-31 12:30:35.806044,4.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Advanced System Design, Autonomous AI Agents",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Some advanced AI prompting techniques needed more foundational explanation.
52,2026-08-28 02:16:35.806044,5.0,AI & Data Science,2nd Year,AI-assisted Coding & LLMs,Advanced System Design,5.0,Yes,Great energy from the instructor and very well structured presentation slides.,Please include more beginner-friendly debugging tips.
53,2026-08-28 02:33:35.806044,5.0,AI & Data Science,3rd Year,Python & FastAPI Backends,"Mobile App Development, Autonomous AI Agents",5.0,Maybe,Practical examples rather than just boring slides. Outstanding workshop!,The pace in the second half was a bit too fast for beginners without prior Python experience.
54,2026-08-28 09:15:35.806044,1.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Advanced System Design, Vector Databases & RAG",1.0,No,Practical examples rather than just boring slides. Outstanding workshop!,Please include more beginner-friendly debugging tips.
55,2026-08-29 05:08:35.806044,4.0,AI & Data Science,4th Year,AI-assisted Coding & LLMs,Vector Databases & RAG,3.0,Maybe,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
56,2026-08-28 12:16:35.806044,4.0,Information Technology,1st Year,Python & FastAPI Backends,Docker & Kubernetes,5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,
57,2026-08-28 20:25:35.806044,4.0,Electronics & Communication,3rd Year,Python & FastAPI Backends,"Vector Databases & RAG, Advanced System Design, Mobile App Development",4.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,
58,2026-09-01 00:46:35.806044,5.0,Computer Science,3rd Year,Python & FastAPI Backends,"Mobile App Development, Docker & Kubernetes",4.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,The pace in the second half was a bit too fast for beginners without prior Python experience.
59,2026-09-01 13:59:35.806044,5.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Autonomous AI Agents, Mobile App Development",4.0,Maybe,The AI integration section was eye opening and directly applicable to our capstone project.,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
60,2026-08-30 20:28:35.806044,5.0,Information Technology,3rd Year,Cloud Deployment & DevOps,"Autonomous AI Agents, Vector Databases & RAG, Mobile App Development",5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,
61,2026-09-01 21:36:35.806044,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,"Advanced System Design, Autonomous AI Agents",5.0,Yes,Loved the clear explanations of REST API architecture and database models.,The pace in the second half was a bit too fast for beginners without prior Python experience.
62,2026-08-28 14:09:35.806044,5.0,Information Technology,3rd Year,Python & FastAPI Backends,"Vector Databases & RAG, Docker & Kubernetes, Advanced System Design",4.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,
63,2026-09-02 01:25:35.806044,5.0,Information Technology,3rd Year,React & Modern UI Systems,Vector Databases & RAG,4.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Please provide code repositories and slides earlier before the session starts.
64,2026-08-31 04:59:35.806044,5.0,AI & Data Science,2nd Year,React & Modern UI Systems,"Mobile App Development, Vector Databases & RAG",5.0,Yes,Great energy from the instructor and very well structured presentation slides.,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
65,2026-09-01 10:31:35.806044,5.0,Computer Science,3rd Year,React & Modern UI Systems,"Docker & Kubernetes, Mobile App Development",5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Need more time allocated for hands-on practice rather than rapid live coding.
66,2026-08-29 09:56:35.806044,5.0,Information Technology,2nd Year,Python & FastAPI Backends,Advanced System Design,5.0,Maybe,Practical examples rather than just boring slides. Outstanding workshop!,
67,2026-08-31 18:13:35.806044,1.0,Information Technology,4th Year,Python & FastAPI Backends,Vector Databases & RAG,1.0,No,The best tech workshop we had this semester. Very inspiring!,
68,2026-08-28 02:15:35.806044,5.0,AI & Data Science,2nd Year,Python & FastAPI Backends,"Vector Databases & RAG, Autonomous AI Agents, Advanced System Design",5.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
69,2026-08-31 11:07:35.806044,4.0,Information Technology,1st Year,AI-assisted Coding & LLMs,"Mobile App Development, Autonomous AI Agents, Docker & Kubernetes",5.0,Maybe,,Some advanced AI prompting techniques needed more foundational explanation.
70,2026-08-28 19:36:35.806044,4.0,AI & Data Science,2nd Year,AI-assisted Coding & LLMs,"Docker & Kubernetes, Autonomous AI Agents, Mobile App Development",3.0,Yes,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,
71,2026-08-29 15:43:35.806044,4.0,Information Technology,2nd Year,Python & FastAPI Backends,Advanced System Design,4.0,Yes,The best tech workshop we had this semester. Very inspiring!,Please include more beginner-friendly debugging tips.
72,2026-09-01 17:10:35.806044,5.0,Information Technology,2nd Year,Python & FastAPI Backends,"Docker & Kubernetes, Vector Databases & RAG",4.0,Yes,,Some advanced AI prompting techniques needed more foundational explanation.
73,2026-08-31 03:47:35.806044,5.0,Electronics & Communication,3rd Year,Python & FastAPI Backends,Vector Databases & RAG,5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",Some advanced AI prompting techniques needed more foundational explanation.
74,2026-08-27 15:32:35.806044,5.0,Electronics & Communication,3rd Year,AI-assisted Coding & LLMs,"Mobile App Development, Docker & Kubernetes, Autonomous AI Agents",4.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
75,2026-08-28 14:30:35.806044,4.0,Information Technology,3rd Year,React & Modern UI Systems,"Autonomous AI Agents, Docker & Kubernetes, Vector Databases & RAG",4.0,Yes,,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
76,2026-08-28 00:51:35.806044,5.0,Electronics & Communication,2nd Year,Python & FastAPI Backends,"Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Some advanced AI prompting techniques needed more foundational explanation.
77,2026-08-31 18:28:35.806044,5.0,AI & Data Science,3rd Year,Python & FastAPI Backends,"Mobile App Development, Docker & Kubernetes, Autonomous AI Agents",5.0,Yes,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,
78,2026-08-28 05:25:35.806044,5.0,Information Technology,3rd Year,Python & FastAPI Backends,Mobile App Development,5.0,Yes,,Need more time allocated for hands-on practice rather than rapid live coding.
79,2026-09-01 17:30:35.806044,5.0,Information Technology,3rd Year,Python & FastAPI Backends,Vector Databases & RAG,5.0,Yes,,
80,2026-08-30 07:48:35.806044,5.0,Computer Science,2nd Year,Python & FastAPI Backends,"Advanced System Design, Mobile App Development, Docker & Kubernetes",5.0,Yes,Great energy from the instructor and very well structured presentation slides.,Please provide code repositories and slides earlier before the session starts.
81,2026-09-01 06:22:35.806044,5.0,Information Technology,2nd Year,Cloud Deployment & DevOps,"Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,,Need more time allocated for hands-on practice rather than rapid live coding.
82,2026-08-27 20:49:35.806044,3.0,Information Technology,1st Year,AI-assisted Coding & LLMs,Advanced System Design,4.0,Maybe,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
83,2026-08-28 05:44:35.806044,5.0,AI & Data Science,2nd Year,React & Modern UI Systems,Docker & Kubernetes,5.0,Yes,The best tech workshop we had this semester. Very inspiring!,
84,2026-09-01 09:45:35.806044,4.0,Electronics & Communication,4th Year,Python & FastAPI Backends,Vector Databases & RAG,3.0,Yes,,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
85,2026-08-30 20:56:35.806044,4.0,Computer Science,1st Year,AI-assisted Coding & LLMs,"Mobile App Development, Docker & Kubernetes",3.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
86,2026-09-01 21:37:35.806044,4.0,Information Technology,3rd Year,Cloud Deployment & DevOps,Autonomous AI Agents,4.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,Please provide code repositories and slides earlier before the session starts.
87,2026-08-30 07:29:35.806044,5.0,AI & Data Science,2nd Year,Cloud Deployment & DevOps,"Advanced System Design, Docker & Kubernetes",5.0,Yes,The best tech workshop we had this semester. Very inspiring!,Please include more beginner-friendly debugging tips.
88,2026-08-30 09:34:35.806044,3.0,Information Technology,1st Year,React & Modern UI Systems,Mobile App Development,3.0,Maybe,The AI integration section was eye opening and directly applicable to our capstone project.,Please provide code repositories and slides earlier before the session starts.
89,2026-08-29 07:13:35.806044,5.0,Information Technology,3rd Year,AI-assisted Coding & LLMs,Autonomous AI Agents,5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",The pace in the second half was a bit too fast for beginners without prior Python experience.
90,2026-08-30 20:37:35.806044,5.0,Electronics & Communication,3rd Year,Python & FastAPI Backends,"Autonomous AI Agents, Docker & Kubernetes, Mobile App Development",5.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
91,2026-08-28 09:40:35.806044,4.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,"Advanced System Design, Vector Databases & RAG",4.0,Yes,Loved the clear explanations of REST API architecture and database models.,The pace in the second half was a bit too fast for beginners without prior Python experience.
92,2026-08-30 23:41:35.806044,5.0,Electronics & Communication,3rd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Vector Databases & RAG",5.0,Maybe,The best tech workshop we had this semester. Very inspiring!,Please provide code repositories and slides earlier before the session starts.
93,2026-08-28 07:55:35.806044,4.0,AI & Data Science,4th Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",Please provide code repositories and slides earlier before the session starts.
94,2026-09-01 13:09:35.806044,4.0,Computer Science,1st Year,Python & FastAPI Backends,"Mobile App Development, Advanced System Design",4.0,Yes,Loved building a working AI application in real time during the second half.,Please provide code repositories and slides earlier before the session starts.
95,2026-08-29 11:40:35.806044,5.0,Information Technology,2nd Year,Python & FastAPI Backends,"Advanced System Design, Autonomous AI Agents",5.0,Yes,,
96,2026-08-28 17:23:35.806044,5.0,AI & Data Science,3rd Year,AI-assisted Coding & LLMs,Vector Databases & RAG,5.0,Yes,Loved building a working AI application in real time during the second half.,Need more time allocated for hands-on practice rather than rapid live coding.
97,2026-08-27 22:23:35.806044,5.0,Information Technology,3rd Year,Python & FastAPI Backends,"Mobile App Development, Advanced System Design, Docker & Kubernetes",4.0,Yes,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,
98,2026-08-27 15:23:35.806044,5.0,Electronics & Communication,1st Year,Cloud Deployment & DevOps,Vector Databases & RAG,5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,Audio had occasional echo in the auditorium back rows.
99,2026-09-01 11:24:35.806044,5.0,Computer Science,2nd Year,AI-assisted Coding & LLMs,Docker & Kubernetes,4.0,Yes,Great energy from the instructor and very well structured presentation slides.,
100,2026-08-28 08:32:35.806044,4.0,Computer Science,1st Year,AI-assisted Coding & LLMs,"Mobile App Development, Advanced System Design, Docker & Kubernetes",3.0,Yes,The AI integration section was eye opening and directly applicable to our capstone project.,Need more time allocated for hands-on practice rather than rapid live coding.
101,2026-09-01 10:32:35.806044,5.0,Electronics & Communication,2nd Year,Python & FastAPI Backends,"Autonomous AI Agents, Docker & Kubernetes, Mobile App Development",5.0,Yes,,The pace in the second half was a bit too fast for beginners without prior Python experience.
102,2026-08-27 20:19:35.806044,2.0,Computer Science,2nd Year,Python & FastAPI Backends,"Mobile App Development, Advanced System Design, Docker & Kubernetes",1.0,No,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
103,2026-08-29 08:26:35.806044,5.0,Information Technology,2nd Year,Cloud Deployment & DevOps,Advanced System Design,5.0,Maybe,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,
104,2026-08-30 00:19:35.806044,5.0,Electronics & Communication,2nd Year,Python & FastAPI Backends,"Advanced System Design, Autonomous AI Agents",5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",
105,2026-08-28 01:27:35.806044,4.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,"Vector Databases & RAG, Docker & Kubernetes, Advanced System Design",4.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,
106,2026-08-31 13:19:35.806044,4.0,Electronics & Communication,2nd Year,AI-assisted Coding & LLMs,"Advanced System Design, Autonomous AI Agents, Docker & Kubernetes",4.0,Yes,Loved the clear explanations of REST API architecture and database models.,Need more time allocated for hands-on practice rather than rapid live coding.
107,2026-08-29 06:43:35.806044,5.0,Computer Science,2nd Year,Cloud Deployment & DevOps,Autonomous AI Agents,5.0,Maybe,Practical hands-on session made difficult backend concepts very clear and easy to follow.,The pace in the second half was a bit too fast for beginners without prior Python experience.
108,2026-08-31 06:55:35.806044,5.0,Computer Science,3rd Year,AI-assisted Coding & LLMs,"Advanced System Design, Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,Practical examples rather than just boring slides. Outstanding workshop!,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
109,2026-09-02 00:55:35.806044,5.0,Information Technology,2nd Year,React & Modern UI Systems,"Vector Databases & RAG, Docker & Kubernetes",5.0,Yes,The best tech workshop we had this semester. Very inspiring!,Please include more beginner-friendly debugging tips.
110,2026-08-31 21:36:35.806044,2.0,Computer Science,2nd Year,Python & FastAPI Backends,Docker & Kubernetes,2.0,Maybe,,Need more time allocated for hands-on practice rather than rapid live coding.
111,2026-08-30 16:15:35.806044,5.0,Electronics & Communication,3rd Year,Python & FastAPI Backends,"Mobile App Development, Vector Databases & RAG",4.0,Yes,Practical hands-on session made difficult backend concepts very clear and easy to follow.,Would prefer extending the session to a two-day bootcamp to cover advanced topics in depth.
112,2026-09-01 04:03:35.806044,5.0,Information Technology,2nd Year,AI-assisted Coding & LLMs,Docker & Kubernetes,5.0,Yes,"Interactive Q&A was super helpful, instructor cleared all our doubts patiently.",Need more time allocated for hands-on practice rather than rapid live coding.
113,2026-09-01 00:35:35.806044,5.0,Computer Science,1st Year,Cloud Deployment & DevOps,"Mobile App Development, Autonomous AI Agents",5.0,Yes,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,
114,2026-09-01 06:33:35.806044,5.0,Computer Science,4th Year,Python & FastAPI Backends,Autonomous AI Agents,5.0,Yes,The best tech workshop we had this semester. Very inspiring!,Please provide code repositories and slides earlier before the session starts.
115,2026-09-01 06:47:35.806044,5.0,Electronics & Communication,3rd Year,AI-assisted Coding & LLMs,"Mobile App Development, Autonomous AI Agents",5.0,Yes,Loved building a working AI application in real time during the second half.,"Wi-Fi connection in the lab was unstable, which made following cloud deployment steps harder."
116,2026-08-31 07:15:35.806044,3.0,AI & Data Science,2nd Year,AI-assisted Coding & LLMs,"Autonomous AI Agents, Mobile App Development",2.0,Maybe,Clear step-by-step guidance on connecting frontend React with modern FastAPI endpoints.,Need more time allocated for hands-on practice rather than rapid live coding.
117,2026-09-01 00:12:35.806044,5.0,Computer Science,2nd Year,Python & FastAPI Backends,"Advanced System Design, Docker & Kubernetes",5.0,Yes,Great energy from the instructor and very well structured presentation slides.,Please include more beginner-friendly debugging tips.
118,2026-08-31 11:29:35.806044,4.0,Information Technology,1st Year,AI-assisted Coding & LLMs,Autonomous AI Agents,5.0,Yes,The live coding demonstrations on AI-assisted coding and FastAPI were phenomenal.,
